model,params,rmse,mae,r_sq
DummyRegressor(),{},4556.682892583011,3964.753358046399,-24.786176952352875
LinearRegression(),{},2216.1510735588136,1736.7798214905984,-1.8069381052925517
ElasticNet(),"{'alpha': 3600, 'l1_ratio': 0.95}",2403.064378686534,1899.0945719160995,-4.952597798393234
ElasticNet(),"{'alpha': 3500, 'l1_ratio': 0.95}",2403.0704947554223,1898.7990796093575,-4.941668107172388
ElasticNet(),"{'alpha': 3400, 'l1_ratio': 0.95}",2403.088282305653,1898.5299195257035,-4.930684731163917
DecisionTreeRegressor(),"{'max_depth': 10, 'min_samples_leaf': 8}",1968.182629362788,1481.2327129334728,-0.1533498763745194
DecisionTreeRegressor(),"{'max_depth': 10, 'min_samples_leaf': 4}",2020.9839450425466,1520.6513572820106,-0.33070727221453333
DecisionTreeRegressor(),"{'max_depth': 15, 'min_samples_leaf': 8}",2024.564820720177,1528.8507232147833,-0.30189644678124744
DecisionTreeRegressor(),"{'max_depth': 10, 'min_samples_leaf': 2}",2055.24604367919,1551.1669651591512,-0.7705575224340919
DecisionTreeRegressor(),"{'max_depth': 5, 'min_samples_leaf': 8}",2113.020953543713,1617.8760994225536,-0.4619790804020302
DecisionTreeRegressor(),"{'max_depth': 15, 'min_samples_leaf': 4}",2115.7702238809825,1607.0845704667452,-0.8262798538964262
DecisionTreeRegressor(),"{'max_depth': 5, 'min_samples_leaf': 2}",2118.618478992889,1624.5554352877605,-0.4692715467140183
DecisionTreeRegressor(),"{'max_depth': 5, 'min_samples_leaf': 4}",2124.2120298536324,1627.5165974482986,-0.47125594931118564
DecisionTreeRegressor(),"{'max_depth': 15, 'min_samples_leaf': 2}",2240.4781325726085,1698.207474446406,-1.192352892309551
RandomForestRegressor(),"{'max_depth': 50, 'min_samples_leaf': 2}",1591.740053962137,1200.9677166423287,0.292745636951481
RandomForestRegressor(),"{'max_depth': None, 'min_samples_leaf': 2}",1593.0913402918568,1203.4931309683154,0.29927692768094044
RandomForestRegressor(),"{'max_depth': 100, 'min_samples_leaf': 2}",1599.5028059946335,1208.868424677975,0.26813852581615827
RandomForestRegressor(),"{'max_depth': 100, 'min_samples_leaf': 5}",1613.9580607470855,1214.7787925369385,0.31496542123994054
